Title,Rating,Votes,Genre,Years,Runtime
The Florida Project,7.6,"108,556",Drama            ,(2017),111 min
Just Mercy,7.6,"62,597","Biography, Crime, Drama            ",(2019),137 min
Gifted,7.6,"111,614",Drama            ,(2017),101 min
Victoria,7.6,"57,387","Crime, Drama, Romance            ",(II) (2015),138 min
Guardians of the Galaxy Vol. 2,7.6,"638,061","Action, Adventure, Comedy            ",(2017),136 min
Only the Brave,7.6,"65,625","Action, Biography, Drama            ",(2017),134 min
Moana,7.6,"313,327","Animation, Adventure, Comedy            ",(I) (2016),107 min
Sicario,7.6,"410,281","Action, Crime, Drama            ",(2015),121 min
Leviafan,7.6,"52,469","Crime, Drama            ",(2014),140 min
Hell or High Water,7.6,"222,144","Action, Crime, Drama            ",(II) (2016),102 min
Philomena,7.6,"98,579","Biography, Comedy, Drama            ",(2013),98 min
El cuerpo,7.6,"63,693","Mystery, Thriller            ",(2012),112 min
Serbuan maut,7.6,"200,222","Action, Crime, Thriller            ",(2011),101 min
End of Watch,7.6,"241,576","Action, Adventure, Crime            ",(2012),109 min
A Star Is Born,7.6,"368,272","Drama, Music, Romance            ",(2018),136 min
True Grit,7.6,"331,088","Drama, Western            ",(2010),110 min
Hævnen,7.6,"39,801","Drama, Romance            ",(2010),118 min
Despicable Me,7.6,"528,024","Animation, Adventure, Comedy            ",(2010),95 min
50/50,7.6,"325,766","Comedy, Drama, Romance            ",(2011),100 min
Celda 211,7.6,"66,714","Action, Crime, Drama            ",(2009),113 min
Moneyball,7.6,"405,210","Biography, Drama, Sport            ",(2011),133 min
La piel que habito,7.6,"148,644","Drama, Horror, Thriller            ",(2011),120 min
Zombieland,7.6,"554,713","Action, Comedy, Horror            ",(2009),88 min
(500) Days of Summer,7.6,"498,046","Comedy, Drama, Romance            ",(2009),95 min
The Blind Side,7.6,"318,512","Biography, Drama, Sport            ",(2009),129 min
Seven Pounds,7.6,"298,014",Drama            ,(2008),123 min
Eastern Promises,7.6,"238,298","Crime, Drama, Thriller            ",(2007),100 min
Stardust,7.6,"267,442","Adventure, Family, Fantasy            ",(2007),127 min
The Secret of Kells,7.6,"34,648","Animation, Adventure, Family            ",(2009),71 min
Inside Man,7.6,"362,587","Crime, Drama, Mystery            ",(2006),129 min
Gone Baby Gone,7.6,"267,204","Crime, Drama, Mystery            ",(2007),114 min
Harry Potter and the Half-Blood Prince,7.6,"520,510","Action, Adventure, Family            ",(2009),153 min
300,7.6,"774,925","Action, Drama            ",(2006),117 min
Match Point,7.6,"214,731","Drama, Romance, Thriller            ",(2005),124 min
Watchmen,7.6,"535,219","Action, Drama, Mystery            ",(2009),162 min
Saw,7.6,"406,389","Horror, Mystery, Thriller            ",(2004),103 min
Vera Drake,7.6,"25,205","Crime, Drama            ",(2004),125 min
Mysterious Skin,7.6,"68,421",Drama            ,(2004),105 min
